تاریخ	        اذان صبح	طلوع	    اذان ظهر	  غروب	   اذان مغرب	نیمه شب
٠١ فروردین ١٤٠٢	٠٤:٤٠:٢١	٠٥:٥٦:٥١	١٢:٠٠:٤٢	١٨:٠٤:٥٩	١٨:٢١:٣٤	٢٣:٢٢:٠٥
٠٢ فروردین ١٤٠٢	٠٤:٣٩:١٠	٠٥:٥٥:٤٣	١٢:٠٠:٢٥	١٨:٠٥:٣١	١٨:٢٢:٠٦	٢٣:٢١:٤٥
٠٣ فروردین ١٤٠٢	٠٤:٣٧:٥٩	٠٥:٥٤:٣٦	١٢:٠٠:٠٧	١٨:٠٦:٠٣	١٨:٢٢:٣٨	٢٣:٢١:٢٥
٠٤ فروردین ١٤٠٢	٠٤:٣٦:٤٧	٠٥:٥٣:٢٨	١١:٥٩:٤٩	١٨:٠٦:٣٥	١٨:٢٣:١٠	٢٣:٢١:٠٥
٠٥ فروردین ١٤٠٢	٠٤:٣٥:٣٥	٠٥:٥٢:٢١	١١:٥٩:٣١	١٨:٠٧:٠٧	١٨:٢٣:٤٢	٢٣:٢٠:٤٥
٠٦ فروردین ١٤٠٢	٠٤:٣٤:٢٣	٠٥:٥١:١٣	١١:٥٩:١٣	١٨:٠٧:٣٨	١٨:٢٤:١٥	٢٣:٢٠:٢٤
٠٧ فروردین ١٤٠٢	٠٤:٣٣:١١	٠٥:٥٠:٠٥	١١:٥٨:٥٥	١٨:٠٨:١٠	١٨:٢٤:٤٧	٢٣:٢٠:٠٤
٠٨ فروردین ١٤٠٢	٠٤:٣١:٥٨	٠٥:٤٨:٥٨	١١:٥٨:٣٧	١٨:٠٨:٤١	١٨:٢٥:١٩	٢٣:١٩:٤٣
٠٩ فروردین ١٤٠٢	٠٤:٣٠:٤٥	٠٥:٤٧:٥٠	١١:٥٨:١٩	١٨:٠٩:١٢	١٨:٢٥:٥١	٢٣:١٩:٢٢
١٠ فروردین ١٤٠٢	٠٤:٢٩:٣٢	٠٥:٤٦:٤٣	١١:٥٨:٠١	١٨:٠٩:٤٤	١٨:٢٦:٢٣	٢٣:١٩:٠١
١١ فروردین ١٤٠٢	٠٤:٢٨:١٩	٠٥:٤٥:٣٦	١١:٥٧:٤٣	١٨:١٠:١٥	١٨:٢٦:٥٥	٢٣:١٨:٤٠
١٢ فروردین ١٤٠٢	٠٤:٢٧:٠٥	٠٥:٤٤:٢٩	١١:٥٧:٢٥	١٨:١٠:٤٦	١٨:٢٧:٢٧	٢٣:١٨:١٩
١٣ فروردین ١٤٠٢	٠٤:٢٥:٥٢	٠٥:٤٣:٢٢	١١:٥٧:٠٧	١٨:١١:١٧	١٨:٢٧:٥٩	٢٣:١٧:٥٨
١٤ فروردین ١٤٠٢	٠٤:٢٤:٣٨	٠٥:٤٢:١٥	١١:٥٦:٤٩	١٨:١١:٤٩	١٨:٢٨:٣١	٢٣:١٧:٣٧
١٥ فروردین ١٤٠٢	٠٤:٢٣:٢٥	٠٥:٤١:٠٩	١١:٥٦:٣٢	١٨:١٢:٢٠	١٨:٢٩:٠٣	٢٣:١٧:١٥
١٦ فروردین ١٤٠٢	٠٤:٢٢:١١	٠٥:٤٠:٠٣	١١:٥٦:١٤	١٨:١٢:٥١	١٨:٢٩:٣٦	٢٣:١٦:٥٤
١٧ فروردین ١٤٠٢	٠٤:٢٠:٥٧	٠٥:٣٨:٥٧	١١:٥٥:٥٧	١٨:١٣:٢٣	١٨:٣٠:٠٨	٢٣:١٦:٣٣
١٨ فروردین ١٤٠٢	٠٤:١٩:٤٤	٠٥:٣٧:٥٢	١١:٥٥:٤٠	١٨:١٣:٥٤	١٨:٣٠:٤١	٢٣:١٦:١٢
١٩ فروردین ١٤٠٢	٠٤:١٨:٣٠	٠٥:٣٦:٤٦	١١:٥٥:٢٣	١٨:١٤:٢٥	١٨:٣١:١٤	٢٣:١٥:٥١
٢٠ فروردین ١٤٠٢	٠٤:١٧:١٧	٠٥:٣٥:٤٢	١١:٥٥:٠٧	١٨:١٤:٥٧	١٨:٣١:٤٧	٢٣:١٥:٣٠
٢١ فروردین ١٤٠٢	٠٤:١٦:٠٤	٠٥:٣٤:٣٧	١١:٥٤:٥٠	١٨:١٥:٢٩	١٨:٣٢:٢٠	٢٣:١٥:١٠
٢٢ فروردین ١٤٠٢	٠٤:١٤:٥١	٠٥:٣٣:٣٤	١١:٥٤:٣٤	١٨:١٦:٠١	١٨:٣٢:٥٣	٢٣:١٤:٤٩
٢٣ فروردین ١٤٠٢	٠٤:١٣:٣٨	٠٥:٣٢:٣٠	١١:٥٤:١٩	١٨:١٦:٣٢	١٨:٣٣:٢٦	٢٣:١٤:٢٩
٢٤ فروردین ١٤٠٢	٠٤:١٢:٢٥	٠٥:٣١:٢٧	١١:٥٤:٠٣	١٨:١٧:٠٤	١٨:٣٤:٠٠	٢٣:١٤:٠٩
٢٥ فروردین ١٤٠٢	٠٤:١١:١٣	٠٥:٣٠:٢٥	١١:٥٣:٤٨	١٨:١٧:٣٧	١٨:٣٤:٣٣	٢٣:١٣:٤٩
٢٦ فروردین ١٤٠٢	٠٤:١٠:٠١	٠٥:٢٩:٢٣	١١:٥٣:٣٤	١٨:١٨:٠٩	١٨:٣٥:٠٧	٢٣:١٣:٢٩
٢٧ فروردین ١٤٠٢	٠٤:٠٨:٤٩	٠٥:٢٨:٢٢	١١:٥٣:١٩	١٨:١٨:٤٢	١٨:٣٥:٤٢	٢٣:١٣:١٠
٢٨ فروردین ١٤٠٢	٠٤:٠٧:٣٨	٠٥:٢٧:٢١	١١:٥٣:٠٥	١٨:١٩:١٤	١٨:٣٦:١٦	٢٣:١٢:٥١
٢٩ فروردین ١٤٠٢	٠٤:٠٦:٢٧	٠٥:٢٦:٢١	١١:٥٢:٥٢	١٨:١٩:٤٧	١٨:٣٦:٥٠	٢٣:١٢:٣٢
٣٠ فروردین ١٤٠٢	٠٤:٠٥:١٦	٠٥:٢٥:٢٢	١١:٥٢:٣٩	١٨:٢٠:٢٠	١٨:٣٧:٢٥	٢٣:١٢:١٣
٣١ فروردین ١٤٠٢	٠٤:٠٤:٠٦	٠٥:٢٤:٢٣	١١:٥٢:٢٦	١٨:٢٠:٥٣	١٨:٣٨:٠٠	٢٣:١١:٥٥
٠١ اردیبهشت ١٤٠٢	٠٤:٠٢:٥٧	٠٥:٢٣:٢٥	١١:٥٢:١٣	١٨:٢١:٢٦	١٨:٣٨:٣٥	٢٣:١١:٣٧
٠٢ اردیبهشت ١٤٠٢	٠٤:٠١:٤٨	٠٥:٢٢:٢٨	١١:٥٢:٠٢	١٨:٢٢:٠٠	١٨:٣٩:١٠	٢٣:١١:١٩
٠٣ اردیبهشت ١٤٠٢	٠٤:٠٠:٣٩	٠٥:٢١:٣٢	١١:٥١:٥٠	١٨:٢٢:٣٣	١٨:٣٩:٤٦	٢٣:١١:٠٢
٠٤ اردیبهشت ١٤٠٢	٠٣:٥٩:٣١	٠٥:٢٠:٣٦	١١:٥١:٣٩	١٨:٢٣:٠٧	١٨:٤٠:٢١	٢٣:١٠:٤٥
٠٥ اردیبهشت ١٤٠٢	٠٣:٥٨:٢٤	٠٥:١٩:٤١	١١:٥١:٢٩	١٨:٢٣:٤٠	١٨:٤٠:٥٧	٢٣:١٠:٢٩
٠٦ اردیبهشت ١٤٠٢	٠٣:٥٧:١٧	٠٥:١٨:٤٧	١١:٥١:١٩	١٨:٢٤:١٤	١٨:٤١:٣٣	٢٣:١٠:١٣
٠٧ اردیبهشت ١٤٠٢	٠٣:٥٦:١١	٠٥:١٧:٥٣	١١:٥١:٠٩	١٨:٢٤:٤٨	١٨:٤٢:٠٩	٢٣:٠٩:٥٧
٠٨ اردیبهشت ١٤٠٢	٠٣:٥٥:٠٦	٠٥:١٧:٠١	١١:٥١:٠٠	١٨:٢٥:٢٢	١٨:٤٢:٤٥	٢٣:٠٩:٤٢
٠٩ اردیبهشت ١٤٠٢	٠٣:٥٤:٠١	٠٥:١٦:٠٩	١١:٥٠:٥١	١٨:٢٥:٥٦	١٨:٤٣:٢١	٢٣:٠٩:٢٧
١٠ اردیبهشت ١٤٠٢	٠٣:٥٢:٥٧	٠٥:١٥:١٩	١١:٥٠:٤٣	١٨:٢٦:٣١	١٨:٤٣:٥٨	٢٣:٠٩:١٢
١١ اردیبهشت ١٤٠٢	٠٣:٥١:٥٤	٠٥:١٤:٢٩	١١:٥٠:٣٥	١٨:٢٧:٠٥	١٨:٤٤:٣٤	٢٣:٠٨:٥٩
١٢ اردیبهشت ١٤٠٢	٠٣:٥٠:٥٢	٠٥:١٣:٤٠	١١:٥٠:٢٨	١٨:٢٧:٤٠	١٨:٤٥:١١	٢٣:٠٨:٤٥
١٣ اردیبهشت ١٤٠٢	٠٣:٤٩:٥١	٠٥:١٢:٥٢	١١:٥٠:٢٢	١٨:٢٨:١٤	١٨:٤٥:٤٨	٢٣:٠٨:٣٢
١٤ اردیبهشت ١٤٠٢	٠٣:٤٨:٥٠	٠٥:١٢:٠٥	١١:٥٠:١٦	١٨:٢٨:٤٩	١٨:٤٦:٢٤	٢٣:٠٨:٢٠
١٥ اردیبهشت ١٤٠٢	٠٣:٤٧:٥٠	٠٥:١١:١٩	١١:٥٠:١٠	١٨:٢٩:٢٤	١٨:٤٧:٠١	٢٣:٠٨:٠٨
١٦ اردیبهشت ١٤٠٢	٠٣:٤٦:٥٢	٠٥:١٠:٣٤	١١:٥٠:٠٥	١٨:٢٩:٥٨	١٨:٤٧:٣٨	٢٣:٠٧:٥٦
١٧ اردیبهشت ١٤٠٢	٠٣:٤٥:٥٤	٠٥:٠٩:٥١	١١:٥٠:٠١	١٨:٣٠:٣٣	١٨:٤٨:١٥	٢٣:٠٧:٤٥
١٨ اردیبهشت ١٤٠٢	٠٣:٤٤:٥٨	٠٥:٠٩:٠٨	١١:٤٩:٥٧	١٨:٣١:٠٨	١٨:٤٨:٥٣	٢٣:٠٧:٣٥
١٩ اردیبهشت ١٤٠٢	٠٣:٤٤:٠٢	٠٥:٠٨:٢٦	١١:٤٩:٥٤	١٨:٣١:٤٣	١٨:٤٩:٣٠	٢٣:٠٧:٢٥
٢٠ اردیبهشت ١٤٠٢	٠٣:٤٣:٠٨	٠٥:٠٧:٤٦	١١:٤٩:٥٢	١٨:٣٢:١٨	١٨:٥٠:٠٧	٢٣:٠٧:١٦
